* Block Type = 96-Well 0.2-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 09-24-2018
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 09-24-2018
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 09-24-2018
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 09-24-2018
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 09-24-2018
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 09-24-2018
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 09-24-2018
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 09-24-2018
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 09-24-2018
* Calibration ROI is expired  = No
* Calibration ROI performed on = 09-24-2018
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 09-24-2018
* Chemistry = TAQMAN
* Date Created = 2019-11-19 13:59:31 PM CST
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = E:\20191108_AG_10.eds
* Experiment Name = 20191108_AG_10
* Experiment Run End Time = 2019-11-08 13:26:01 PM CST
* Experiment Type = Standard Curve
* Instrument Name =       272320406
* Instrument Serial Number = 272320406
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	EXPFAIL	PRFLOW	NOISE	HIGHSD	SPIKE	NOAMP
87	H3	false	W 1 MC 3	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	11	No Amp		N	N	N	N	N	N
88	H4	false	W 1 MC 4	C	UNKNOWN	VIC	NFQ-MGB	24.366	23.659	0.999								false	0.010	true	3	23	Amp		N	N	N	Y	N	N
88	H4	false	W 1 MC 4	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
89	H5	false	W 1 MC 5	C	UNKNOWN	VIC	NFQ-MGB	25.124	24.945	0.253								false	0.010	true	3	23	Amp		N	N	N	N	N	N
89	H5	false	W 1 MC 5	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
90	H6	false	W 2 MC 1	C	UNKNOWN	VIC	NFQ-MGB	28.469	28.232	0.334								false	0.010	true	3	27	Amp		N	N	N	N	N	N
90	H6	false	W 2 MC 1	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
91	H7	false	W 2 MC 2	C	UNKNOWN	VIC	NFQ-MGB	25.336	25.146	0.269								false	0.010	true	3	24	Amp		N	N	N	N	N	N
91	H7	false	W 2 MC 2	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
92	H8	false	W 2 MC 3	C	UNKNOWN	VIC	NFQ-MGB	26.113	26.259	0.206								false	0.010	true	3	25	Amp		N	N	N	N	N	N
92	H8	false	W 2 MC 3	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	12	No Amp		N	N	N	N	N	N
93	H9	false	W 2 MC 4	C	UNKNOWN	VIC	NFQ-MGB	24.624	24.205	0.593								false	0.010	true	3	23	Amp		N	N	N	Y	N	N
93	H9	false	W 2 MC 4	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		Y	N	N	N	N	Y
94	H10	false	W 2 MC 5	C	UNKNOWN	VIC	NFQ-MGB	24.262	24.262									false	0.010	true	3	23	Amp		N	N	N	N	N	N
95	H11	false	+	C	UNKNOWN	VIC	NFQ-MGB	20.238	20.643	0.573								false	0.010	true	3	19	Amp		N	N	N	Y	N	N
95	H11	false	+	D	UNKNOWN	FAM	NFQ-MGB	17.147	17.747	0.848								false	0.010	true	3	17	Amp		N	N	N	Y	N	N
